"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Josh Harrison","WSN","80","282","317","80","58","16","1","5","32","34","22","0","48","11","1","0","4","5","2",".284","8202"
"Jonathan Schoop","DET","90","349","379","99","67","14","1","17","48","56","21","0","80","3","6","0","8","1","0",".284","11265"
"Starling Marte","MIA","57","208","245","59","41","10","1","7","49","22","29","2","54","6","1","1","2","19","3",".284","9241"
"Jake Cronenworth","SDP","94","353","401","100","62","21","4","13","64","40","35","2","58","5","1","3","5","4","2",".283","18036"
"Yordan Alvarez","HOU","78","293","326","83","50","16","1","16","53","56","24","2","90","7","2","0","9","1","0",".283","19556"
"Bryce Harper","PHI","71","258","300","73","42","16","0","15","49","34","37","4","71","4","1","0","7","8","0",".283","11579"
"Ronald Acuna Jr.","ATL","82","297","360","84","40","19","1","24","72","52","49","2","85","9","5","0","0","17","6",".283","18401"
"Starlin Castro","WSN","87","315","346","89","66","20","0","3","25","38","26","1","62","0","4","0","6","0","1",".283","4579"
"Aaron Judge","NYY","84","312","360","88","54","13","0","21","51","47","46","1","90","1","1","0","9","1","0",".282","15640"
"Raimel Tapia","COL","89","337","368","95","70","20","0","5","53","39","28","2","50","0","2","1","4","15","3",".282","14350"
"Steven Duggar","SFG","66","174","195","49","30","11","2","6","32","26","21","2","62","0","0","0","3","6","0",".282","17719"
"Freddie Freeman","ATL","91","341","402","96","61","14","0","21","64","54","57","9","72","2","2","0","7","5","2",".282","5361"
"Joey Wendle","TBR","78","260","287","73","43","22","1","7","47","34","18","3","64","7","2","0","5","6","5",".281","13853"
"Colin Moran","PIT","49","157","174","44","31","9","0","4","11","23","14","0","46","2","1","0","1","1","0",".280","16909"
"Harold Ramirez","CLE","59","193","208","54","34","13","1","6","24","23","9","1","31","4","2","0","5","2","0",".280","14387"
"A.J. Pollock","LAD","67","211","230","59","32","14","0","13","31","34","17","3","52","2","0","0","2","2","0",".280","9256"
"Evan Longoria","SFG","50","161","186","45","25","11","0","9","28","30","25","2","42","0","0","0","5","1","1",".280","9368"
"Austin Riley","ATL","91","319","368","89","58","15","1","15","43","45","37","2","93","7","5","0","7","0","1",".279","18360"
"Rafael Devers","BOS","90","337","380","94","45","26","1","22","60","72","35","4","90","5","3","0","6","3","5",".279","17350"
"Salvador Perez","KCR","92","359","375","100","63","16","0","21","41","56","9","2","99","6","1","0","9","0","0",".279","7304"
"Carlos Correa","HOU","85","316","368","88","52","20","0","16","61","52","47","2","68","3","2","0","10","0","0",".278","14162"
"Aledmys Diaz","HOU","34","115","126","32","20","9","0","3","14","18","5","2","19","6","0","0","3","0","1",".278","15937"
"Matt Duffy","CHC","38","90","106","25","20","4","0","1","16","12","11","0","18","4","1","0","7","3","0",".278","13836"
"Harold Castro","DET","52","162","177","45","41","3","0","1","16","19","12","0","40","0","0","3","3","0","1",".278","14691"
"Tres Barrera","WSN","7","18","20","5","4","0","1","0","3","3","1","1","7","1","0","0","2","0","0",".278","19977"
