"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Andrew Knizner","STL","36","90","101","16","12","4","0","0","11","2","9","1","21","2","0","0","3","0","0",".178","19514"
"Jack Mayfield","- - -","22","51","55","9","6","2","0","1","5","4","2","0","14","1","0","1","2","0","0",".176","15402"
"Yu-Cheng Chang","CLE","49","108","114","19","11","6","0","2","12","14","5","0","30","0","1","0","2","1","0",".176","14773"
"Taylor Jones","HOU","21","57","62","10","7","3","0","0","4","5","4","0","17","0","1","0","4","0","0",".175","19533"
"Kean Wong","LAA","19","40","44","7","4","2","1","0","2","5","1","0","11","0","0","3","0","0","1",".175","15994"
"Jordan Luplow","CLE","36","98","121","17","5","5","0","7","12","20","21","0","31","2","0","0","1","0","2",".173","16424"
"Jackie Bradley Jr.","MIL","85","277","311","48","31","8","3","6","27","26","23","0","92","8","3","0","5","6","1",".173","12984"
"Roman Quinn","PHI","28","52","62","9","5","2","2","0","8","2","6","0","19","4","0","0","0","4","3",".173","13546"
"Sergio Alcantara","CHC","36","81","93","14","6","3","3","2","11","4","9","0","28","1","1","1","1","1","0",".173","16417"
"Eugenio Suarez","CIN","89","330","372","57","29","10","0","18","43","52","33","0","112","6","3","0","8","0","1",".173","12552"
"Sheldon Neuse","LAD","28","58","59","10","6","1","0","3","6","4","1","0","22","0","0","0","1","0","1",".172","19635"
"Danny Jansen","TOR","48","122","137","21","12","4","0","5","16","10","12","0","35","2","0","1","3","0","0",".172","16535"
"Matt Adams","COL","21","35","39","6","5","1","0","0","3","2","4","1","8","0","0","0","1","0","0",".171","9393"
"Dustin Fowler","PIT","18","41","46","7","6","1","0","0","3","2","3","0","20","1","1","0","0","1","0",".171","17098"
"Roberto Perez","CLE","26","88","101","15","7","2","0","6","10","15","11","0","34","1","0","1","1","1","0",".170","2900"
"JaCoby Jones","DET","36","100","105","17","13","2","0","2","9","9","5","0","42","0","0","0","2","2","2",".170","14818"
"Martin Maldonado","HOU","67","219","245","37","24","6","1","6","23","22","22","0","78","4","0","0","6","0","0",".169","6887"
"Dom Nunez","COL","53","154","178","26","10","9","2","5","21","21","23","4","66","0","1","0","0","0","0",".169","15055"
"Andrew Knapp","PHI","45","101","112","17","13","2","0","2","9","11","9","0","38","0","1","1","1","0","0",".168","14942"
"Cody Bellinger","LAD","37","131","155","22","16","1","1","4","21","19","22","1","43","0","2","0","1","2","0",".168","15998"
"Alex Avila","WSN","24","66","85","11","4","6","1","0","4","6","17","1","30","1","0","1","2","0","0",".167","7476"
"Danny Santana","BOS","31","96","104","16","11","1","1","3","10","10","7","0","25","1","0","0","0","3","1",".167","10322"
"John Andreoli","SDP","7","6","7","1","0","1","0","0","2","0","1","0","3","0","0","0","0","0","0",".167","13012"
"Rio Ruiz","BAL","32","90","101","15","9","3","0","3","10","6","9","0","29","1","0","1","3","2","0",".167","14103"
"Jake Cave","MIN","31","84","93","14","8","5","0","1","8","2","6","0","35","2","0","1","0","1","0",".167","14477"
"Luis Marte","MIA","4","6","7","1","1","0","0","0","2","0","1","0","2","0","0","0","0","0","0",".167","14515"
"Stevie Wilkerson","BAL","31","72","76","12","9","3","0","0","5","2","3","0","30","1","0","0","0","2","0",".167","16041"
"Ryan McBroom","KCR","5","6","7","1","1","0","0","0","1","0","1","0","5","0","0","0","0","0","0",".167","16524"
"Brian O'Grady","SDP","24","42","51","7","3","3","0","1","7","7","7","0","14","0","1","1","1","0","0",".167","16729"
"Austin Allen","OAK","2","6","6","1","0","0","0","1","1","1","0","0","2","0","0","0","0","0","0",".167","18083"
"Keston Hiura","MIL","55","162","186","27","13","9","1","4","16","18","14","0","72","7","1","2","6","2","0",".167","20003"
"Jarren Duran","BOS","2","6","7","1","1","0","0","0","1","0","1","0","3","0","0","0","0","0","0",".167","24617"
"Sandy Leon","MIA","50","139","150","23","18","3","0","2","8","8","7","0","42","2","2","0","1","0","0",".165","5273"
"Daniel Robertson","MIL","50","73","90","12","8","2","0","2","10","4","12","1","28","3","1","1","1","0","0",".164","14145"
"Jose Godoy","SEA","16","37","40","6","5","1","0","0","2","3","3","0","14","0","0","0","2","0","0",".162","15808"
"Taylor Trammell","SEA","51","156","178","25","10","7","0","8","23","18","17","0","75","3","0","2","1","2","3",".160","19960"
"Steven Souza Jr.","LAD","13","25","28","4","2","0","1","1","2","2","2","0","10","1","0","0","1","0","0",".160","5667"
"Justin Williams","STL","51","119","137","19","15","0","0","4","10","11","17","5","46","1","0","0","2","0","1",".160","15490"
"Austin Hedges","CLE","45","138","151","22","17","1","0","4","12","13","8","1","50","1","1","3","2","0","0",".159","12976"
"Khris Davis","TEX","22","51","61","8","4","1","1","2","8","5","8","0","16","0","2","0","2","0","0",".157","9112"
"Victor Reyes","DET","28","83","86","13","7","4","1","1","9","4","3","0","25","0","0","0","1","2","0",".157","15487"
"Luis Rengifo","LAA","24","77","82","12","9","1","0","2","10","6","3","0","17","1","0","1","1","0","0",".156","19858"
"Jason Martin","TEX","25","45","51","7","6","0","0","1","2","4","6","0","18","0","0","0","1","2","1",".156","16429"
"Yoshi Tsutsugo","- - -","38","103","118","16","12","4","0","0","7","7","14","0","39","0","0","1","1","0","0",".155","27459"
"Robel Garcia","HOU","37","84","93","13","9","3","0","1","6","8","6","0","35","1","1","1","2","0","0",".155","13167"
"Chance Sisco","BAL","23","65","73","10","8","2","0","0","4","3","6","0","18","2","0","0","0","0","0",".154","15694"
"Seby Zavala","CHW","4","13","16","2","0","2","0","0","1","0","0","0","6","1","0","2","0","0","0",".154","18887"
"Lars Nootbaar","STL","11","26","30","4","3","0","1","0","2","3","3","0","4","0","1","0","0","0","0",".154","21454"
"Isan Diaz","MIA","39","106","129","16","11","3","0","2","6","10","20","3","37","1","2","0","0","0","0",".151","17922"
"Frank Schwindel","OAK","8","20","20","3","1","1","0","1","2","3","0","0","5","0","0","0","0","0","0",".150","15351"
"Jacob Nottingham","- - -","15","40","45","6","2","1","0","3","5","6","2","0","20","2","1","0","0","0","0",".150","16448"
"Renato Nunez","DET","7","27","29","4","0","2","0","2","5","3","1","0","8","1","0","0","1","0","0",".148","14503"
"Scott Schebler","LAA","14","34","34","5","2","3","0","0","3","0","0","0","17","0","0","0","0","0","0",".147","12225"
"Domingo Leyba","- - -","27","68","76","10","8","1","0","1","6","4","7","0","19","1","0","0","2","0","0",".147","16404"
"Gilberto Celestino","MIN","17","48","50","7","3","2","0","2","6","2","2","0","9","0","0","0","2","0","0",".146","20233"
"Daulton Varsho","ARI","38","90","105","13","9","3","0","1","9","7","15","1","26","0","0","0","1","3","0",".144","19918"
"Evan White","SEA","30","97","104","14","9","3","0","2","8","9","6","0","31","1","0","0","1","0","0",".144","20078"
"Michael Perez","PIT","41","118","130","17","7","4","0","6","11","13","10","1","38","2","0","0","2","0","0",".144","12977"
"Jonathan Davis","TOR","50","70","85","10","8","1","0","1","16","4","11","0","21","3","1","0","1","4","1",".143","15104"
"Monte Harrison","MIA","8","7","8","1","1","0","0","0","0","0","0","0","3","0","0","1","0","0","1",".143","17216"
"Cole Tucker","PIT","13","21","22","3","2","1","0","0","1","1","1","0","5","0","0","0","1","0","1",".143","17326"
"Sam Hilliard","COL","23","42","44","6","2","1","1","2","6","4","2","1","20","0","0","0","0","0","0",".143","17954"
"Nick Heath","ARI","20","35","39","5","4","1","0","0","3","1","4","1","15","0","0","0","0","0","2",".143","19577"
"Keibert Ruiz","LAD","6","7","7","1","0","0","0","1","1","1","0","0","5","0","0","0","0","0","0",".143","19610"
"Jared Oliva","PIT","13","28","31","4","2","2","0","0","3","1","3","1","8","0","0","0","0","2","0",".143","19968"
"Jose Marmolejos","SEA","31","79","94","11","6","2","0","3","8","9","14","0","32","0","1","0","0","0","0",".139","15767"
"Ka'ai Tom","- - -","48","108","133","15","10","2","1","2","10","12","17","1","36","5","3","0","1","1","0",".139","18136"
"Ildemaro Vargas","- - -","25","51","55","7","5","2","0","0","5","6","4","0","13","0","0","0","1","1","0",".137","13324"
"Mike Ford","NYY","22","60","72","8","5","0","0","3","6","5","11","1","23","1","0","0","1","0","0",".133","15585"
"Ben Rortvedt","MIN","29","70","78","9","6","1","0","2","5","5","5","0","24","1","0","2","2","0","0",".129","20287"
"Bryan Holaday","ARI","3","8","8","1","1","0","0","0","1","0","0","0","4","0","0","0","0","0","0",".125","11287"
"Tony Wolters","CHC","14","24","30","3","3","0","0","0","3","0","5","0","12","0","0","1","1","0","1",".125","11470"
"Jake Hager","NYM","5","8","8","1","1","0","0","0","1","0","0","0","3","0","0","0","0","0","0",".125","12198"
"Dillon Thomas","SEA","3","8","8","1","1","0","0","0","2","2","0","0","6","0","0","0","0","0","0",".125","12719"
"Tim Lopes","MIL","5","8","9","1","1","0","0","0","1","0","1","0","4","0","0","0","0","0","1",".125","14137"
"Stuart Fairchild","ARI","7","8","8","1","1","0","0","0","2","0","0","0","2","0","0","0","1","0","0",".125","20321"
"Manny Pina","MIL","44","98","115","12","5","2","0","5","10","10","14","0","21","2","1","0","3","0","0",".122","2829"
"Mickey Moniak","PHI","11","25","28","3","2","0","0","1","3","3","3","1","12","0","0","0","0","0","0",".120","19956"
"Wyatt Mathisen","ARI","23","42","51","5","4","0","0","1","3","8","5","0","21","3","1","0","0","0","0",".119","14555"
"Jay Bruce","NYY","10","34","39","4","2","1","0","1","3","3","5","0","13","0","0","0","2","0","0",".118","9892"
"Lewin Diaz","MIA","11","17","17","2","0","0","0","2","3","3","0","0","6","0","0","0","0","0","0",".118","18365"
"Jarred Kelenic","SEA","26","96","105","11","7","2","0","2","7","6","8","0","32","1","0","0","0","3","0",".115","22558"
"Austin Romine","CHC","6","9","9","1","0","1","0","0","1","1","0","0","3","0","0","0","0","0","0",".111","5491"
"Troy Stokes Jr.","PIT","8","18","20","2","1","1","0","0","2","2","1","0","5","1","0","0","0","1","0",".111","17478"
"Jaylin Davis","SFG","5","9","9","1","0","1","0","0","1","0","0","0","1","0","0","0","1","0","0",".111","19552"
"Cristian Pache","ATL","22","63","68","7","3","3","0","1","6","4","2","0","25","1","0","2","1","0","0",".111","19948"
"Sebastian Rivero","KCR","8","18","22","2","1","1","0","0","1","2","3","0","9","1","0","0","1","0","0",".111","21735"
"Chris Gittens","NYY","13","28","35","3","2","0","0","1","1","5","6","0","11","0","1","0","0","0","0",".107","18482"
"Riley Adams","TOR","12","28","30","3","1","2","0","0","2","0","2","0","12","0","0","0","1","0","0",".107","19864"
"Skye Bolt","- - -","25","47","49","5","3","1","0","1","2","3","0","0","11","0","0","2","0","1","0",".106","17723"
"Owen Miller","CLE","18","47","50","5","4","1","0","0","2","1","3","0","24","0","0","0","1","0","0",".106","24655"
"Lane Thomas","STL","32","48","58","5","4","1","0","0","2","1","10","1","17","0","0","0","1","2","1",".104","16939"
"Brent Rooker","MIN","8","29","30","3","1","1","0","1","1","2","1","0","13","0","0","0","0","0","0",".103","19627"
"Matt Joyce","PHI","36","50","62","5","2","1","0","2","5","6","10","2","14","1","1","0","2","0","0",".100","3353"
"Scott Heineman","CIN","19","30","34","3","1","0","0","2","5","3","3","0","15","1","0","0","1","0","0",".100","14453"
"Geraldo Perdomo","ARI","4","10","13","1","1","0","0","0","1","0","3","1","2","0","0","0","0","0","0",".100","22799"
"Drew Butera","LAA","12","32","36","3","2","1","0","0","1","5","0","0","16","0","1","3","0","0","0",".094","3411"
"Luis Campusano","SDP","11","34","38","3","3","0","0","0","0","1","4","0","11","0","0","0","2","0","0",".088","22217"
"Leody Taveras","TEX","15","46","50","4","4","0","0","0","2","1","3","0","23","1","0","0","1","2","0",".087","18900"
"Todd Frazier","PIT","13","35","40","3","2","1","0","0","3","4","3","0","6","2","0","0","1","0","0",".086","785"
"Nick Martini","CHC","12","12","15","1","1","0","0","0","2","1","2","0","3","0","1","0","0","0","0",".083","12005"
"Anthony Alford","PIT","11","24","29","2","2","0","0","0","2","0","4","0","16","1","0","0","1","1","1",".083","14329"
"Kevin Padlo","TBR","9","12","14","1","0","1","0","0","1","0","2","0","8","0","0","0","0","0","0",".083","16593"
"Edwin Rios","LAD","25","51","60","4","3","0","0","1","4","1","7","0","18","2","0","0","3","0","0",".078","18316"
"Albert Almora Jr.","NYM","32","40","41","3","1","2","0","0","1","0","1","0","15","0","0","0","1","0","0",".075","14109"
"Vidal Brujan","TBR","7","15","15","1","1","0","0","0","1","1","0","0","5","0","0","0","0","1","0",".067","20536"
"Ronald Guzman","TEX","7","16","17","1","0","0","0","1","1","1","1","0","6","0","0","0","0","0","0",".063","14388"
"Max Moroff","STL","6","16","16","1","1","0","0","0","0","1","0","0","10","0","0","0","0","0","0",".063","14556"
"Anderson Tejeda","TEX","5","16","17","1","1","0","0","0","1","0","1","0","10","0","0","0","0","1","0",".063","19909"
"Khalil Lee","NYM","11","18","18","1","0","1","0","0","2","1","0","0","13","0","0","0","0","0","0",".056","19952"
"Hernan Perez","WSN","10","19","21","1","1","0","0","0","1","0","2","0","10","0","0","0","0","0","0",".053","5751"
"Scott Kingery","PHI","15","19","19","1","1","0","0","0","1","0","0","0","12","0","0","0","0","0","0",".053","17975"
"Vimael Machin","OAK","10","21","23","1","1","0","0","0","1","1","2","0","7","0","0","0","2","0","0",".048","17684"
"Alex Jackson","ATL","10","23","28","1","1","0","0","0","2","0","2","1","13","3","0","0","0","0","0",".043","17276"
"P.J. Higgins","CHC","9","23","25","1","1","0","0","0","1","0","2","0","8","0","0","0","2","0","0",".043","18433"
"Cameron Maybin","NYM","9","28","33","1","1","0","0","0","2","0","3","0","12","2","0","0","0","1","0",".036","5223"
"Jeff Mathis","ATL","3","9","9","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0",".000","3448"
"Jose Lobaton","CHC","6","11","13","0","0","0","0","0","1","0","2","0","5","0","0","0","0","0","0",".000","4243"
"Sean Kazmar","ATL","3","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0",".000","7349"
"Jared Hoying","TOR","2","3","3","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".000","10882"
"Breyvic Valera","TOR","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".000","12758"
"Jacob Wilson","OAK","2","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","13254"
"Deven Marrero","MIA","1","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0",".000","13325"
"Humberto Arteaga","WSN","1","3","4","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0",".000","13595"
"Nick Williams","CHW","4","10","13","0","0","0","0","0","2","0","1","0","4","2","0","0","1","0","0",".000","14330"
"Tzu-Wei Lin","MIN","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","14678"
"Johan Camargo","ATL","15","16","18","0","0","0","0","0","1","0","2","0","6","0","0","0","0","0","0",".000","14950"
"Joseph Odom","TBR","2","2","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".000","15535"
"Taylor Gushue","CHC","2","4","4","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0",".000","16098"
"Hoy Jun Park","NYY","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","18027"
"Trey Amburgey","NYY","2","4","4","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0",".000","18425"
"Corey Ray","MIL","1","2","3","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0",".000","19170"
"Jack Kruger","LAA","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","19634"
"Zach Reks","LAD","3","4","4","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0",".000","19667"
"Carter Kieboom","WSN","2","1","2","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0",".000","19958"
"Hunter Owen","PIT","3","4","5","0","0","0","0","0","0","0","0","0","3","1","0","0","0","0","0",".000","20034"
"Brandon Marsh","LAA","1","4","4","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0",".000","20202"
"Mario Feliciano","MIL","1","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0",".000","20263"
"Scott Hurst","STL","7","5","5","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".000","20501"
"Cal Raleigh","SEA","3","12","12","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0",".000","21534"
"Cody Wilson","WSN","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","24671"
