Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2021,"Wil Myers","SDP",78,230,208,57,34,12,1,10,10,39,20,0,68,0,2,0,4,0,0,0.27403846,10047
2021,"Max Stassi","LAA",36,94,84,28,20,3,0,5,5,10,6,0,25,4,0,0,6,0,0,0.33333333,10059
2021,"Stephen Strasburg","WSN",4,6,4,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0.25,10131
2021,"Mike Trout","LAA",32,99,83,30,14,7,1,8,8,16,15,2,29,1,0,0,0,0,0,0.36144578,10155
2021,"Billy Hamilton","CHW",5,12,12,3,1,2,0,0,0,0,0,0,3,0,0,0,1,0,0,0.25,10199
2021,"Jose Iglesias","LAA",72,217,208,56,42,10,0,4,4,22,6,0,33,3,0,0,5,0,0,0.26923077,10231
2021,"Randal Grichuk","TOR",83,264,252,64,41,9,1,13,13,47,10,0,62,1,1,0,10,0,0,0.25396825,10243
2021,"Marcell Ozuna","ATL",47,156,140,31,22,4,0,5,5,23,15,0,33,1,0,0,3,0,0,0.22142857,10324
2021,"Wilfredo Tovar","NYM",5,11,10,2,2,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0.2,10416
2021,"Enrique Hernandez","BOS",69,204,183,42,22,13,1,6,6,18,15,0,45,5,1,0,3,0,0,0.2295082,10472
2021,"Jimmy Nelson","LAD",2,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10547
2021,"Gio Urshela","NYY",77,213,199,54,39,7,0,8,8,30,14,0,50,0,0,0,8,0,0,0.27135678,10681
2021,"Ryan LaMarre","NYY",2,4,3,1,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0.33333333,10700
2021,"Andrelton Simmons","MIN",64,177,161,35,29,5,0,1,1,11,12,0,29,1,0,3,4,0,0,0.2173913,10847
2021,"Adam Duvall","MIA",72,220,203,51,29,6,1,15,15,46,13,0,65,1,3,0,4,0,0,0.25123153,10950
2021,"Phil Gosselin","LAA",35,77,71,17,12,3,0,2,2,9,5,0,23,0,1,0,1,0,0,0.23943662,10953
2021,"Merrill Kelly","ARI",17,29,23,2,2,0,0,0,0,1,4,0,12,0,0,2,0,0,0,0.08695652,11156
